enr_pathway,one_lower_level,top_level,enr_description,one_lower_level_description,top_level_description
R-HSA-194441,R-HSA-194441,R-HSA-8953854,Metabolism of non-coding RNA,Metabolism of non-coding RNA,Metabolism of RNA
R-HSA-15869,R-HSA-15869,R-HSA-1430728,Metabolism of nucleotides,Metabolism of nucleotides,Metabolism
R-HSA-351202,R-HSA-71291,R-HSA-1430728,Metabolism of polyamines,Metabolism of amino acids and derivatives,Metabolism
R-HSA-189445,R-HSA-189445,R-HSA-1430728,Metabolism of porphyrins,Metabolism of porphyrins,Metabolism
R-HSA-392499,R-HSA-392499,R-HSA-392499,Metabolism of proteins,Metabolism of proteins,Metabolism of proteins
R-HSA-380612,R-HSA-112315,R-HSA-112316,Metabolism of serotonin,Transmission across Chemical Synapses,Neuronal System
R-HSA-196071,R-HSA-556833,R-HSA-1430728,Metabolism of steroid hormones,Metabolism of lipids,Metabolism
R-HSA-8957322,R-HSA-556833,R-HSA-1430728,Metabolism of steroids,Metabolism of lipids,Metabolism
R-HSA-6806664,R-HSA-196854,R-HSA-1430728,Metabolism of vitamin K,Metabolism of vitamins and cofactors,Metabolism
R-HSA-196854,R-HSA-196854,R-HSA-1430728,Metabolism of vitamins and cofactors,Metabolism of vitamins and cofactors,Metabolism
R-HSA-196849,R-HSA-196854,R-HSA-1430728,Metabolism of water-soluble vitamins and cofactors,Metabolism of vitamins and cofactors,Metabolism
R-HSA-425410,R-HSA-425407,R-HSA-382551,Metal ion SLC transporters,SLC-mediated transmembrane transport,Transport of small molecules
R-HSA-6799990,R-HSA-168249,R-HSA-168256,Metal sequestration by antimicrobial proteins,Innate Immune System,Immune System
R-HSA-5689901,R-HSA-597592,R-HSA-392499,Metalloprotease DUBs,Post-translational protein modification,Metabolism of proteins
R-HSA-5661231,R-HSA-5660526,R-HSA-8953897,Metallothioneins bind metals,Response to metal ions,Cellular responses to stimuli
R-HSA-1237112,R-HSA-71291,R-HSA-1430728,Methionine salvage pathway,Metabolism of amino acids and derivatives,Metabolism
R-HSA-156581,R-HSA-211859,R-HSA-1430728,Methylation,Biological oxidations,Metabolism
R-HSA-2408552,R-HSA-71291,R-HSA-1430728,Methylation of MeSeH for excretion,Metabolism of amino acids and derivatives,Metabolism
R-HSA-203927,R-HSA-211000,R-HSA-74160,MicroRNA (miRNA) biogenesis,Gene Silencing by RNA,Gene expression (Transcription)
R-HSA-9686347,R-HSA-5218859,R-HSA-5357801,Microbial modulation of RIPK1-mediated regulated necrosis,Regulated Necrosis,Programmed Cell Death
R-HSA-190840,R-HSA-199991,R-HSA-5653656,Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane,Membrane Trafficking,Vesicle-mediated transport
R-HSA-193993,R-HSA-556833,R-HSA-1430728,Mineralocorticoid biosynthesis,Metabolism of lipids,Metabolism
R-HSA-164516,R-HSA-5663205,R-HSA-1643685,Minus-strand DNA synthesis,Infectious disease,Disease
R-HSA-9715370,R-HSA-9716542,R-HSA-162582,Miro GTPase Cycle,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Signal Transduction
R-HSA-211958,R-HSA-211859,R-HSA-1430728,Miscellaneous substrates,Biological oxidations,Metabolism
R-HSA-5223345,R-HSA-5223345,R-HSA-382551,Miscellaneous transport and binding events,Miscellaneous transport and binding events,Transport of small molecules
R-HSA-5358508,R-HSA-5358508,R-HSA-73894,Mismatch Repair,Mismatch Repair,DNA Repair
R-HSA-5358606,R-HSA-5358508,R-HSA-73894,Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta),Mismatch Repair,DNA Repair
R-HSA-5358565,R-HSA-5358508,R-HSA-73894,Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha),Mismatch Repair,DNA Repair
R-HSA-1369007,R-HSA-382556,R-HSA-382551,Mitochondrial ABC transporters,ABC-family proteins mediated transport,Transport of small molecules
R-HSA-77289,R-HSA-556833,R-HSA-1430728,Mitochondrial Fatty Acid Beta-Oxidation,Metabolism of lipids,Metabolism
R-HSA-166187,R-HSA-1428517,R-HSA-1430728,Mitochondrial Uncoupling,The citric acid (TCA) cycle and respiratory electron transport,Metabolism
R-HSA-1592230,R-HSA-1592230,R-HSA-1852241,Mitochondrial biogenesis,Mitochondrial biogenesis,Organelle biogenesis and maintenance
R-HSA-8949215,R-HSA-8949215,R-HSA-382551,Mitochondrial calcium ion transport,Mitochondrial calcium ion transport,Transport of small molecules
R-HSA-1362409,R-HSA-1362409,R-HSA-1430728,Mitochondrial iron-sulfur cluster biogenesis,Mitochondrial iron-sulfur cluster biogenesis,Metabolism
R-HSA-1268020,R-HSA-1268020,R-HSA-9609507,Mitochondrial protein import,Mitochondrial protein import,Protein localization
R-HSA-379726,R-HSA-72766,R-HSA-392499,Mitochondrial tRNA aminoacylation,Translation,Metabolism of proteins
R-HSA-163282,R-HSA-75944,R-HSA-74160,Mitochondrial transcription initiation,Transcription from mitochondrial promoters,Gene expression (Transcription)
R-HSA-163316,R-HSA-75944,R-HSA-74160,Mitochondrial transcription termination,Transcription from mitochondrial promoters,Gene expression (Transcription)
R-HSA-5368287,R-HSA-72766,R-HSA-392499,Mitochondrial translation,Translation,Metabolism of proteins
R-HSA-5389840,R-HSA-72766,R-HSA-392499,Mitochondrial translation elongation,Translation,Metabolism of proteins
R-HSA-5368286,R-HSA-72766,R-HSA-392499,Mitochondrial translation initiation,Translation,Metabolism of proteins
R-HSA-5419276,R-HSA-72766,R-HSA-392499,Mitochondrial translation termination,Translation,Metabolism of proteins
R-HSA-5205647,R-HSA-1632852,R-HSA-9612973,Mitophagy,Macroautophagy,Autophagy
R-HSA-68882,R-HSA-69278,R-HSA-1640170,Mitotic Anaphase,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-453279,R-HSA-69278,R-HSA-1640170,Mitotic G1 phase and G1/S transition,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-453274,R-HSA-69278,R-HSA-1640170,Mitotic G2-G2/M phases,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-2555396,R-HSA-69278,R-HSA-1640170,Mitotic Metaphase and Anaphase,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-68881,R-HSA-69278,R-HSA-1640170,Mitotic Metaphase/Anaphase Transition,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-68877,R-HSA-69278,R-HSA-1640170,Mitotic Prometaphase,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-68875,R-HSA-69278,R-HSA-1640170,Mitotic Prophase,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-69618,R-HSA-69620,R-HSA-1640170,Mitotic Spindle Checkpoint,Cell Cycle Checkpoints,Cell Cycle
R-HSA-68884,R-HSA-69278,R-HSA-1640170,Mitotic Telophase/Cytokinesis,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-9637628,R-HSA-5663205,R-HSA-1643685,Modulation by Mtb of host immune system,Infectious disease,Disease
R-HSA-2129379,R-HSA-1566948,R-HSA-1474244,Molecules associated with elastic fibres,Elastic fibre formation,Extracellular matrix organization
R-HSA-947581,R-HSA-196854,R-HSA-1430728,Molybdenum cofactor biosynthesis,Metabolism of vitamins and cofactors,Metabolism
R-HSA-1222449,R-HSA-5663205,R-HSA-1643685,Mtb iron assimilation by chelation,Infectious disease,Disease
R-HSA-2206281,R-HSA-5668914,R-HSA-1643685,Mucopolysaccharidoses,Diseases of metabolism,Disease
R-HSA-427601,R-HSA-425407,R-HSA-382551,Multifunctional anion exchangers,SLC-mediated transmembrane transport,Transport of small molecules
R-HSA-390648,R-HSA-372790,R-HSA-162582,Muscarinic acetylcholine receptors,Signaling by GPCR,Signal Transduction
R-HSA-397014,R-HSA-397014,R-HSA-397014,Muscle contraction,Muscle contraction,Muscle contraction
R-HSA-975871,R-HSA-168249,R-HSA-168256,MyD88 cascade initiated on plasma membrane,Innate Immune System,Immune System
R-HSA-975871,R-HSA-168249,R-HSA-168256,MyD88 cascade initiated on plasma membrane,Innate Immune System,Immune System
R-HSA-5602498,R-HSA-5260271,R-HSA-1643685,MyD88 deficiency (TLR2/4),Diseases of Immune System,Disease
R-HSA-5602680,R-HSA-5260271,R-HSA-1643685,MyD88 deficiency (TLR5),Diseases of Immune System,Disease
R-HSA-975155,R-HSA-168249,R-HSA-168256,MyD88 dependent cascade initiated on endosome,Innate Immune System,Immune System
R-HSA-975155,R-HSA-168249,R-HSA-168256,MyD88 dependent cascade initiated on endosome,Innate Immune System,Immune System
R-HSA-166166,R-HSA-168249,R-HSA-168256,MyD88-independent TLR4 cascade,Innate Immune System,Immune System
R-HSA-166058,R-HSA-168249,R-HSA-168256,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,Innate Immune System,Immune System
R-HSA-166058,R-HSA-168249,R-HSA-168256,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,Innate Immune System,Immune System
R-HSA-166058,R-HSA-168249,R-HSA-168256,MyD88:MAL(TIRAP) cascade initiated on plasma membrane,Innate Immune System,Immune System
R-HSA-3785653,R-HSA-5668914,R-HSA-1643685,Myoclonic epilepsy of Lafora,Diseases of metabolism,Disease
R-HSA-525793,R-HSA-525793,R-HSA-1266738,Myogenesis,Myogenesis,Developmental Biology
R-HSA-975577,R-HSA-597592,R-HSA-392499,N-Glycan antennae elongation,Post-translational protein modification,Metabolism of proteins
R-HSA-975576,R-HSA-597592,R-HSA-392499,N-glycan antennae elongation in the medial/trans-Golgi,Post-translational protein modification,Metabolism of proteins
R-HSA-964739,R-HSA-597592,R-HSA-392499,N-glycan trimming and elongation in the cis-Golgi,Post-translational protein modification,Metabolism of proteins
R-HSA-532668,R-HSA-597592,R-HSA-392499,N-glycan trimming in the ER and Calnexin/Calreticulin cycle,Post-translational protein modification,Metabolism of proteins
R-HSA-205025,R-HSA-73887,R-HSA-162582,NADE modulates death signalling,Death Receptor Signalling,Signal Transduction
R-HSA-389542,R-HSA-196854,R-HSA-1430728,NADPH regeneration,Metabolism of vitamins and cofactors,Metabolism
R-HSA-375165,R-HSA-9675108,R-HSA-1266738,NCAM signaling for neurite out-growth,Nervous system development,Developmental Biology
R-HSA-419037,R-HSA-9675108,R-HSA-1266738,NCAM1 interactions,Nervous system development,Developmental Biology
R-HSA-9636003,R-HSA-73884,R-HSA-73894,NEIL3-mediated resolution of ICLs,Base Excision Repair,DNA Repair
R-HSA-168333,R-HSA-5663205,R-HSA-1643685,NEP/NS2 Interacts with the Cellular Export Machinery,Infectious disease,Disease
R-HSA-933543,R-HSA-168249,R-HSA-168256,NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10,Innate Immune System,Immune System
R-HSA-209560,R-HSA-73887,R-HSA-162582,NF-kB is activated and signals survival,Death Receptor Signalling,Signal Transduction
R-HSA-205017,R-HSA-73887,R-HSA-162582,NFG and proNGF binds to p75NTR,Death Receptor Signalling,Signal Transduction
R-HSA-167060,R-HSA-9006934,R-HSA-162582,NGF processing,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-187024,R-HSA-9006934,R-HSA-162582,NGF-independant TRKA activation,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9031628,R-HSA-9006934,R-HSA-162582,NGF-stimulated transcription,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5676590,R-HSA-1280215,R-HSA-168256,NIK-->noncanonical NF-kB signaling,Cytokine Signaling in Immune system,Immune System
R-HSA-168638,R-HSA-168249,R-HSA-168256,NOD1/2 Signaling Pathway,Innate Immune System,Immune System
R-HSA-203754,R-HSA-202131,R-HSA-1430728,NOSIP mediated eNOS trafficking,Metabolism of nitric oxide: NOS3 activation and regulation,Metabolism
R-HSA-203641,R-HSA-202131,R-HSA-1430728,NOSTRIN mediated eNOS trafficking,Metabolism of nitric oxide: NOS3 activation and regulation,Metabolism
R-HSA-2122947,R-HSA-157118,R-HSA-162582,NOTCH1 Intracellular Domain Regulates Transcription,Signaling by NOTCH,Signal Transduction
R-HSA-2979096,R-HSA-157118,R-HSA-162582,NOTCH2 Activation and Transmission of Signal to the Nucleus,Signaling by NOTCH,Signal Transduction
R-HSA-2197563,R-HSA-157118,R-HSA-162582,NOTCH2 intracellular domain regulates transcription,Signaling by NOTCH,Signal Transduction
R-HSA-9013507,R-HSA-157118,R-HSA-162582,NOTCH3 Activation and Transmission of Signal to the Nucleus,Signaling by NOTCH,Signal Transduction
R-HSA-9013508,R-HSA-157118,R-HSA-162582,NOTCH3 Intracellular Domain Regulates Transcription,Signaling by NOTCH,Signal Transduction
R-HSA-9013700,R-HSA-157118,R-HSA-162582,NOTCH4 Activation and Transmission of Signal to the Nucleus,Signaling by NOTCH,Signal Transduction
R-HSA-9013695,R-HSA-157118,R-HSA-162582,NOTCH4 Intracellular Domain Regulates Transcription,Signaling by NOTCH,Signal Transduction
R-HSA-1368071,R-HSA-1368071,R-HSA-400253,NR1D1 (REV-ERBA) represses gene expression,NR1D1 (REV-ERBA) represses gene expression,Circadian Clock
R-HSA-9632974,R-HSA-9006931,R-HSA-162582,NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis,Signaling by Nuclear Receptors,Signal Transduction
R-HSA-9029558,R-HSA-9006931,R-HSA-162582,NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,Signaling by Nuclear Receptors,Signal Transduction
R-HSA-9031528,R-HSA-9006931,R-HSA-162582,NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose,Signaling by Nuclear Receptors,Signal Transduction
R-HSA-9623433,R-HSA-9006931,R-HSA-162582,NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis,Signaling by Nuclear Receptors,Signal Transduction
R-HSA-9031525,R-HSA-9006931,R-HSA-162582,NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake,Signaling by Nuclear Receptors,Signal Transduction
R-HSA-9024446,R-HSA-9006931,R-HSA-162582,NR1H2 and NR1H3-mediated signaling,Signaling by Nuclear Receptors,Signal Transduction
R-HSA-9029569,R-HSA-9006931,R-HSA-162582,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,Signaling by Nuclear Receptors,Signal Transduction
R-HSA-193648,R-HSA-73887,R-HSA-162582,NRAGE signals death through JNK,Death Receptor Signalling,Signal Transduction
R-HSA-205043,R-HSA-73887,R-HSA-162582,NRIF signals cell death from the nucleus,Death Receptor Signalling,Signal Transduction
R-HSA-168276,R-HSA-5663205,R-HSA-1643685,NS1 Mediated Effects on Host Pathways,Infectious disease,Disease
R-HSA-9025046,R-HSA-9006934,R-HSA-162582,NTF3 activates NTRK2 (TRKB) signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9034013,R-HSA-9006934,R-HSA-162582,NTF3 activates NTRK3 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9026357,R-HSA-9006934,R-HSA-162582,NTF4 activates NTRK2 (TRKB) signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9032759,R-HSA-9006934,R-HSA-162582,NTRK2 activates RAC1,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9603505,R-HSA-9006934,R-HSA-162582,NTRK3 as a dependence receptor,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9717301,R-HSA-5663202,R-HSA-1643685,NVP-TAE684-resistant ALK mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-442660,R-HSA-425407,R-HSA-382551,Na+/Cl- dependent neurotransmitter transporters,SLC-mediated transmembrane transport,Transport of small molecules
R-HSA-420597,R-HSA-446728,R-HSA-1500931,Nectin/Necl  trans heterodimerization,Cell junction organization,Cell-Cell communication
R-HSA-8951664,R-HSA-597592,R-HSA-392499,Neddylation,Post-translational protein modification,Metabolism of proteins
R-HSA-167590,R-HSA-5663205,R-HSA-1643685,Nef Mediated CD4 Down-regulation,Infectious disease,Disease
R-HSA-182218,R-HSA-5663205,R-HSA-1643685,Nef Mediated CD8 Down-regulation,Infectious disease,Disease
R-HSA-164944,R-HSA-5663205,R-HSA-1643685,Nef and signal transduction,Infectious disease,Disease
R-HSA-164939,R-HSA-5663205,R-HSA-1643685,Nef mediated downregulation of CD28 cell surface expression,Infectious disease,Disease
R-HSA-164940,R-HSA-5663205,R-HSA-1643685,Nef mediated downregulation of MHC class I complex cell surface expression,Infectious disease,Disease
R-HSA-164938,R-HSA-5663205,R-HSA-1643685,Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters,Infectious disease,Disease
R-HSA-5250941,R-HSA-212165,R-HSA-74160,Negative epigenetic regulation of rRNA expression,Epigenetic regulation of gene expression,Gene expression (Transcription)
R-HSA-5674499,R-HSA-5683057,R-HSA-162582,Negative feedback regulation of MAPK pathway,MAPK family signaling cascades,Signal Transduction
R-HSA-5654726,R-HSA-9006934,R-HSA-162582,Negative regulation of FGFR1 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5654727,R-HSA-9006934,R-HSA-162582,Negative regulation of FGFR2 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5654732,R-HSA-9006934,R-HSA-162582,Negative regulation of FGFR3 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-5654733,R-HSA-9006934,R-HSA-162582,Negative regulation of FGFR4 signaling,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9706369,R-HSA-1280215,R-HSA-168256,Negative regulation of FLT3,Cytokine Signaling in Immune system,Immune System
R-HSA-5675221,R-HSA-5683057,R-HSA-162582,Negative regulation of MAPK pathway,MAPK family signaling cascades,Signal Transduction
R-HSA-6807004,R-HSA-9006934,R-HSA-162582,Negative regulation of MET activity,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-9617324,R-HSA-112315,R-HSA-112316,Negative regulation of NMDA receptor-mediated neuronal transmission,Transmission across Chemical Synapses,Neuronal System
R-HSA-9604323,R-HSA-157118,R-HSA-162582,Negative regulation of NOTCH4 signaling,Signaling by NOTCH,Signal Transduction
R-HSA-5368598,R-HSA-195721,R-HSA-162582,Negative regulation of TCF-dependent signaling by DVL-interacting proteins,Signaling by WNT,Signal Transduction
R-HSA-3772470,R-HSA-195721,R-HSA-162582,Negative regulation of TCF-dependent signaling by WNT ligand antagonists,Signaling by WNT,Signal Transduction
R-HSA-8866904,R-HSA-73857,R-HSA-74160,Negative regulation of activity of TFAP2 (AP-2) family transcription factors,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-199418,R-HSA-9006925,R-HSA-162582,Negative regulation of the PI3K/AKT network,Intracellular signaling by second messengers,Signal Transduction
R-HSA-936440,R-HSA-168249,R-HSA-168256,Negative regulators of DDX58/IFIH1 signaling,Innate Immune System,Immune System
R-HSA-373753,R-HSA-373753,R-HSA-1500931,Nephrin family interactions,Nephrin family interactions,Cell-Cell communication
R-HSA-9675108,R-HSA-9675108,R-HSA-1266738,Nervous system development,Nervous system development,Developmental Biology
R-HSA-418886,R-HSA-9675108,R-HSA-1266738,Netrin mediated repulsion signals,Nervous system development,Developmental Biology
R-HSA-373752,R-HSA-9675108,R-HSA-1266738,Netrin-1 signaling,Nervous system development,Developmental Biology
R-HSA-6794361,R-HSA-6794362,R-HSA-112316,Neurexins and neuroligins,Protein-protein interactions at synapses,Neuronal System
R-HSA-8863678,R-HSA-9645723,R-HSA-1643685,Neurodegenerative Diseases,Diseases of programmed cell death,Disease
R-HSA-447043,R-HSA-9675108,R-HSA-1266738,Neurofascin interactions,Nervous system development,Developmental Biology
R-HSA-112316,R-HSA-112316,R-HSA-112316,Neuronal System,Neuronal System,Neuronal System
R-HSA-194306,R-HSA-9006934,R-HSA-162582,Neurophilin interactions with VEGF and VEGFR,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-168799,R-HSA-5663205,R-HSA-1643685,Neurotoxicity of clostridium toxins,Infectious disease,Disease
R-HSA-112311,R-HSA-112315,R-HSA-112316,Neurotransmitter clearance,Transmission across Chemical Synapses,Neuronal System
R-HSA-112314,R-HSA-112315,R-HSA-112316,Neurotransmitter receptors and postsynaptic signal transmission,Transmission across Chemical Synapses,Neuronal System
R-HSA-112310,R-HSA-112315,R-HSA-112316,Neurotransmitter release cycle,Transmission across Chemical Synapses,Neuronal System
R-HSA-112313,R-HSA-112315,R-HSA-112316,Neurotransmitter uptake and metabolism In glial cells,Transmission across Chemical Synapses,Neuronal System
R-HSA-6798695,R-HSA-168249,R-HSA-168256,Neutrophil degranulation,Innate Immune System,Immune System
R-HSA-197264,R-HSA-196854,R-HSA-1430728,Nicotinamide salvaging,Metabolism of vitamins and cofactors,Metabolism
R-HSA-196807,R-HSA-196854,R-HSA-1430728,Nicotinate metabolism,Metabolism of vitamins and cofactors,Metabolism
R-HSA-9669926,R-HSA-5663202,R-HSA-1643685,Nilotinib-resistant KIT mutants,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-392154,R-HSA-418346,R-HSA-109582,Nitric oxide stimulates guanylate cyclase,Platelet homeostasis,Hemostasis
R-HSA-427413,R-HSA-212165,R-HSA-74160,NoRC negatively regulates rRNA expression,Epigenetic regulation of gene expression,Gene expression (Transcription)
R-HSA-3000171,R-HSA-3000171,R-HSA-1474244,Non-integrin membrane-ECM interactions,Non-integrin membrane-ECM interactions,Extracellular matrix organization
R-HSA-9017802,R-HSA-157118,R-HSA-162582,Noncanonical activation of NOTCH3,Signaling by NOTCH,Signal Transduction
R-HSA-5693571,R-HSA-5693532,R-HSA-73894,Nonhomologous End-Joining (NHEJ),DNA Double-Strand Break Repair,DNA Repair
R-HSA-975957,R-HSA-927802,R-HSA-8953854,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),Nonsense-Mediated Decay (NMD),Metabolism of RNA
R-HSA-975956,R-HSA-927802,R-HSA-8953854,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),Nonsense-Mediated Decay (NMD),Metabolism of RNA
R-HSA-927802,R-HSA-927802,R-HSA-8953854,Nonsense-Mediated Decay (NMD),Nonsense-Mediated Decay (NMD),Metabolism of RNA
R-HSA-181430,R-HSA-112315,R-HSA-112316,Norepinephrine Neurotransmitter Release Cycle,Transmission across Chemical Synapses,Neuronal System
R-HSA-350054,R-HSA-73857,R-HSA-74160,Notch-HLH transcription pathway,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-447038,R-HSA-9675108,R-HSA-1266738,NrCAM interactions,Nervous system development,Developmental Biology
R-HSA-2995410,R-HSA-69278,R-HSA-1640170,Nuclear Envelope (NE) Reassembly,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-2980766,R-HSA-69278,R-HSA-1640170,Nuclear Envelope Breakdown,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-198725,R-HSA-9006934,R-HSA-162582,Nuclear Events (kinase and transcription factor activation),Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-3301854,R-HSA-69278,R-HSA-1640170,Nuclear Pore Complex (NPC) Disassembly,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-383280,R-HSA-73857,R-HSA-74160,Nuclear Receptor transcription pathway,RNA Polymerase II Transcription,Gene expression (Transcription)
R-HSA-9725371,R-HSA-5663202,R-HSA-1643685,Nuclear events stimulated by ALK signaling in cancer,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-180746,R-HSA-5663205,R-HSA-1643685,Nuclear import of Rev protein,Infectious disease,Disease
R-HSA-1251985,R-HSA-9006934,R-HSA-162582,Nuclear signaling by ERBB4,Signaling by Receptor Tyrosine Kinases,Signal Transduction
R-HSA-8956320,R-HSA-15869,R-HSA-1430728,Nucleobase biosynthesis,Metabolism of nucleotides,Metabolism
R-HSA-8956319,R-HSA-15869,R-HSA-1430728,Nucleobase catabolism,Metabolism of nucleotides,Metabolism
R-HSA-774815,R-HSA-73886,R-HSA-1640170,Nucleosome assembly,Chromosome Maintenance,Cell Cycle
R-HSA-5696398,R-HSA-5696398,R-HSA-73894,Nucleotide Excision Repair,Nucleotide Excision Repair,DNA Repair
R-HSA-8956321,R-HSA-15869,R-HSA-1430728,Nucleotide salvage,Metabolism of nucleotides,Metabolism
R-HSA-168643,R-HSA-168249,R-HSA-168256,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Innate Immune System,Immune System
R-HSA-418038,R-HSA-372790,R-HSA-162582,Nucleotide-like (purinergic) receptors,Signaling by GPCR,Signal Transduction
R-HSA-5173214,R-HSA-597592,R-HSA-392499,O-glycosylation of TSR domain-containing proteins,Post-translational protein modification,Metabolism of proteins
R-HSA-5173105,R-HSA-597592,R-HSA-392499,O-linked glycosylation,Post-translational protein modification,Metabolism of proteins
R-HSA-913709,R-HSA-597592,R-HSA-392499,O-linked glycosylation of mucins,Post-translational protein modification,Metabolism of proteins
R-HSA-1480926,R-HSA-1480926,R-HSA-382551,O2/CO2 exchange in erythrocytes,O2/CO2 exchange in erythrocytes,Transport of small molecules
R-HSA-8983711,R-HSA-1280215,R-HSA-168256,OAS antiviral response,Cytokine Signaling in Immune system,Immune System
R-HSA-9673163,R-HSA-1428517,R-HSA-1430728,Oleoyl-phe metabolism,The citric acid (TCA) cycle and respiratory electron transport,Metabolism
R-HSA-381753,R-HSA-381753,R-HSA-9709957,Olfactory Signaling Pathway,Olfactory Signaling Pathway,Sensory Perception
R-HSA-190704,R-HSA-199991,R-HSA-5653656,Oligomerization of connexins into connexons,Membrane Trafficking,Vesicle-mediated transport
R-HSA-2559585,R-HSA-2262752,R-HSA-8953897,Oncogene Induced Senescence,Cellular responses to stress,Cellular responses to stimuli
R-HSA-6802957,R-HSA-5663202,R-HSA-1643685,Oncogenic MAPK signaling,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-111885,R-HSA-372790,R-HSA-162582,Opioid Signalling,Signaling by GPCR,Signal Transduction
R-HSA-419771,R-HSA-372790,R-HSA-162582,Opsins,Signaling by GPCR,Signal Transduction
R-HSA-68949,R-HSA-69278,R-HSA-1640170,Orc1 removal from chromatin,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-68949,R-HSA-69239,R-HSA-69306,Orc1 removal from chromatin,Synthesis of DNA,DNA Replication
R-HSA-389397,R-HSA-372790,R-HSA-162582,Orexin and neuropeptides FF and QRFP bind to their respective receptors,Signaling by GPCR,Signal Transduction
R-HSA-1852241,R-HSA-1852241,R-HSA-1852241,Organelle biogenesis and maintenance,Organelle biogenesis and maintenance,Organelle biogenesis and maintenance
R-HSA-561048,R-HSA-425407,R-HSA-382551,Organic anion transport,SLC-mediated transmembrane transport,Transport of small molecules
R-HSA-428643,R-HSA-425407,R-HSA-382551,Organic anion transporters,SLC-mediated transmembrane transport,Transport of small molecules
R-HSA-549127,R-HSA-425407,R-HSA-382551,Organic cation transport,SLC-mediated transmembrane transport,Transport of small molecules
R-HSA-549132,R-HSA-425407,R-HSA-382551,Organic cation/anion/zwitterion transport,SLC-mediated transmembrane transport,Transport of small molecules
R-HSA-449836,R-HSA-1280215,R-HSA-168256,Other interleukin signaling,Cytokine Signaling in Immune system,Immune System
R-HSA-416700,R-HSA-9675108,R-HSA-1266738,Other semaphorin interactions,Nervous system development,Developmental Biology
R-HSA-5689896,R-HSA-597592,R-HSA-392499,Ovarian tumor domain proteases,Post-translational protein modification,Metabolism of proteins
R-HSA-2559580,R-HSA-2262752,R-HSA-8953897,Oxidative Stress Induced Senescence,Cellular responses to stress,Cellular responses to stimuli
R-HSA-1234176,R-HSA-2262752,R-HSA-8953897,Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha,Cellular responses to stress,Cellular responses to stimuli
R-HSA-417957,R-HSA-372790,R-HSA-162582,P2Y receptors,Signaling by GPCR,Signal Transduction
